,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
nourriture,19,0,0.0374331550802139,0.3074866310160428,47,0.016042780748663103,22,0.0,0,0,0.0053475935828877,0,0.0106951871657754,10,255,19,0.17647058823529413,0.8061722630216072,0.0053475935828877,19,0,6,0.013368983957219251,0,6,79,47,0.40540540540540543,0.0213903743315508,29,204.86363636363637,254,0.00267379679144385,15,14,0.008021390374331552,39,0,60,0,0,0.0,22,629,0,0.00267379679144385,41,2,0,10,302,0.48012718600953896,35,0,12.863636363636363,0,0.3422459893048128,21,0.0481283422459893,0.0,0.040106951871657755,6,19,2
pain,265,0,0.003605227579990987,0.2715187021180712,522,0.022082018927444796,420,0.0018026137899954935,8,0,0.01982875168995043,0,0.016674177557458314,199,3209,251,0.17620549797205948,0.04726800519428628,0.009689049121225778,254,7,142,0.014420910319963948,6,142,116,522,0.4201911745449784,0.027715187021180712,455,111.48095238095237,1998,0.0013519603424966202,127,16,0.0006759801712483101,341,0,759,0,0,0.0002253267237494367,200,7637,2,0.0027039206849932404,380,26,0,24,2260,0.29592772030902187,429,0,6.640476190476191,0,0.321991888237945,154,0.08922938260477693,0.0,0.023884632717440287,23,260,2
céréale,134,0,0.006386861313868613,0.24361313868613138,246,0.024178832116788323,159,0.0,7,0,0.02144160583941606,0,0.018704379562043797,79,1426,135,0.1760948905109489,0.05007640766427648,0.014142335766423358,139,3,60,0.014598540145985401,1,60,79,246,0.39435840707964603,0.03604014598540146,217,150.30817610062894,1123,0.004105839416058394,68,14,0.011861313868613138,174,0,367,0,0,0.0,101,3616,2,0.005018248175182482,186,11,0,20,1272,0.35176991150442477,198,0,10.622641509433961,0,0.3175182481751825,109,0.09854014598540146,0.0,0.014142335766423358,19,140,2
fromage,191,0,0.004129793510324484,0.2778761061946903,430,0.02064896755162242,241,0.0,5,0,0.01504424778761062,0,0.024778761061946902,157,2242,225,0.19469026548672566,0.3973931347150259,0.010029498525073746,227,3,117,0.011209439528023599,3,118,225,429,0.39822380106571936,0.025073746312684365,377,152.4356846473029,1630,0.002359882005899705,90,14,0.007669616519174041,293,0,627,0,0,0.0,193,5630,3,0.0038348082595870206,312,53,0,21,1860,0.33037300177619894,349,0,7.132780082987552,0,0.2938053097345133,154,0.09026548672566372,0.0,0.02271386430678466,33,231,2
œuf,21,0,0.057777777777777775,0.24444444444444444,38,0.008888888888888889,30,0.008888888888888889,1,0,0.022222222222222223,0,0.02666666666666667,14,138,18,0.24888888888888888,0.029264536003080478,0.0044444444444444444,17,0,6,0.035555555555555556,1,6,7,38,0.38227146814404434,0.013333333333333334,32,81.76666666666667,190,0.0,6,13,0.008888888888888889,28,0,54,0,0,0.0,18,361,0,0.0,32,0,0,3,217,0.6011080332409973,36,0,10.5,0,0.29777777777777775,6,0.04888888888888889,0.0,0.03111111111111111,2,18,2
fruit,6,0,0.14285714285714285,0.27380952380952384,11,0.0,7,0.011904761904761904,0,0,0.03571428571428571,0,0.011904761904761904,3,42,4,0.17857142857142858,0.05022321428571429,0.011904761904761904,4,0,1,0.047619047619047616,0,1,3,11,0.336,0.011904761904761904,7,117.85714285714286,75,0.0,2,12,0.011904761904761904,8,0,15,0,0,0.0,6,125,0,0.0,10,0,0,0,97,0.776,11,0,8.0,0,0.32142857142857145,1,0.05952380952380952,0.0,0.023809523809523808,0,4,2
maïs,533,1,0.0018392012611665792,0.27364687335785604,915,0.0174724119810825,514,0.0,9,0,0.0162900683131897,0,0.01786652653704677,295,5054,456,0.18286915396741987,0.08776750390495844,0.013531266421439831,469,7,177,0.029164477141355755,6,177,232,915,0.3990840176879343,0.028901734104046242,751,153.96108949416342,2755,0.002758801891749869,255,14,0.0072254335260115606,654,0,1315,2,0,0.0,386,12664,13,0.004072517078297425,738,19,0,20,3177,0.25086860391661403,709,0,7.801556420233463,0,0.2825801366263794,388,0.08906988964792432,0.0,0.03455070940620074,77,477,2
viande,185,0,0.004347826086956522,0.307536231884058,372,0.022028985507246378,200,0.0002898550724637681,5,0,0.013043478260869565,0,0.020579710144927536,124,2407,163,0.15739130434782608,0.08674134517889044,0.013333333333333334,168,2,79,0.014782608695652174,3,79,102,372,0.4110314207650273,0.035652173913043476,286,187.2,1577,0.0017391304347826088,123,15,0.013623188405797102,266,0,508,0,0,0.0,134,5856,6,0.004057971014492754,293,8,0,15,1798,0.30703551912568305,308,0,10.26,0,0.27768115942028987,111,0.08260869565217391,0.0,0.035652173913043476,35,171,2
noisette,93,0,0.010108303249097473,0.27148014440433216,148,0.018772563176895306,119,0.0,1,0,0.013718411552346571,0,0.023104693140794223,53,948,69,0.15812274368231047,0.09841075794621026,0.006498194945848376,70,1,26,0.051263537906137184,1,27,72,147,0.4063437633947707,0.038267148014440436,124,121.82352941176471,749,0.001444043321299639,40,14,0.005776173285198556,95,0,210,0,0,0.0,55,2333,2,0.007220216606498195,121,3,0,11,848,0.3634804972138877,99,0,6.260504201680672,0,0.3003610108303249,67,0.08231046931407943,0.0,0.021660649819494584,9,72,2
pomme de terre,394,2,0.0018647439085032321,0.27560914967677774,964,0.01852312282446544,580,0.0002486325211337643,9,0,0.012804574838388861,0,0.019269020387866733,261,5981,363,0.16670810542018896,0.07076754409535992,0.01330183988065639,371,1,194,0.04127299850820487,3,194,297,964,0.42681795475629775,0.03145201392342118,635,147.06206896551726,2978,0.0014917951268025858,400,15,0.011312779711586276,731,0,1263,3,0,0.0,306,14013,11,0.0016161113873694678,770,13,0,28,3394,0.2422036680225505,736,0,7.955172413793103,0,0.3015912481352561,344,0.08030830432620586,0.0,0.024490303331675782,78,377,2
riz,197,1,0.004375,0.2659375,347,0.0265625,271,0.0,1,0,0.01375,0,0.0284375,114,2098,168,0.165,0.06198061897794097,0.0128125,177,6,73,0.008125,3,73,82,347,0.395998489996225,0.06375,290,123.56826568265683,1470,0.0015625,114,14,0.0040625,246,0,495,1,0,0.0,124,5298,6,0.005625,274,11,0,14,1680,0.3171007927519819,294,0,6.594095940959409,0,0.27875,120,0.09625,0.0,0.029375,33,181,2
soja,141,0,0.005777961205117622,0.2422616591002889,338,0.03012794056954189,174,0.0,1,0,0.015683037556747832,0,0.01650846058605035,108,1726,101,0.1832439125051589,0.0487527512839325,0.012794056954189021,105,3,56,0.03012794056954189,1,56,60,338,0.41600385635092796,0.03177878662814693,212,147.11494252873564,1167,0.0012381345439537762,82,14,0.008666941807676434,238,0,426,0,0,0.0,150,4149,2,0.002888980602558811,282,8,0,13,1349,0.32513858761147263,224,0,6.839080459770115,0,0.30375567478332643,112,0.08584399504746182,0.0,0.035080478745357,18,106,2
épice,94,0,0.009186351706036745,0.25393700787401574,170,0.01968503937007874,101,0.0,0,0,0.01706036745406824,0,0.022965879265091863,45,1053,90,0.17519685039370078,0.03506148222000665,0.02821522309711286,95,5,34,0.005905511811023622,2,34,39,170,0.4086146682188591,0.025590551181102362,142,170.2871287128713,836,0.0013123359580052493,56,14,0.015748031496062992,129,0,251,0,0,0.0,69,2577,2,0.0026246719160104987,136,10,0,20,957,0.3713620488940629,146,0,14.168316831683168,0,0.31167979002624674,76,0.1036745406824147,0.0,0.016404199475065617,16,97,2
légume,139,0,0.005470887065259867,0.26221180148495504,299,0.02032043767096522,146,0.0,2,0,0.016412661195779603,0,0.028526768268855023,96,1597,127,0.16764361078546308,0.040461844009829336,0.01875732708089097,127,1,75,0.008206330597889801,3,75,51,299,0.3846339113680154,0.03321610003907777,224,192.7945205479452,1257,0.0031262211801484957,72,14,0.025400547088706527,208,0,404,0,0,0.0,133,4152,2,0.0027354435326299334,224,5,0,17,1404,0.33815028901734107,175,0,13.452054794520548,0,0.3048065650644783,158,0.09730363423212192,0.0,0.011332551778038297,25,130,2
blé,296,0,0.0032119914346895075,0.26595289079229123,565,0.025267665952890792,361,0.00021413276231263382,6,0,0.013062098501070664,0,0.020770877944325482,201,3251,269,0.1809421841541756,0.08122166633554283,0.014561027837259101,276,7,129,0.009207708779443255,4,129,139,565,0.4105316327819169,0.03618843683083512,464,139.22437673130193,2027,0.003854389721627409,165,15,0.00556745182012848,396,0,802,0,0,0.0,216,7919,4,0.005781584582441114,436,18,0,22,2325,0.2935976764743023,430,0,7.116343490304709,0,0.2929336188436831,214,0.10321199143468951,0.0,0.022483940042826552,43,280,2
boisson,85,1,0.00813953488372093,0.29011627906976745,239,0.020348837209302327,132,0.0,2,0,0.013953488372093023,0,0.025,88,1173,78,0.1872093023255814,0.033524707812179616,0.011046511627906977,78,2,62,0.005232558139534884,4,64,20,238,0.40546145869339784,0.03488372093023256,170,141.1590909090909,803,0.0005813953488372093,65,14,0.004069767441860465,155,0,307,1,0,0.0,87,2893,3,0.0017441860465116279,176,16,0,9,960,0.33183546491531285,151,0,7.613636363636363,0,0.2982558139534884,83,0.09476744186046511,0.0,0.012790697674418604,15,84,2
bière,136,0,0.006906758756783424,0.252096694622595,210,0.014306857424765663,134,0.0,1,0,0.017760236803157376,0,0.025160335471139616,81,1385,129,0.16822890971879625,0.09039428643874403,0.0123334977799704,129,2,59,0.038973852984706465,2,59,76,210,0.4062775007333529,0.028120374938332512,209,158.49253731343285,1035,0.001973359644795264,62,14,0.008880118401578688,136,0,331,0,0,0.0,70,3409,0,0.0014800197335964479,151,9,0,16,1176,0.34496919917864477,188,0,8.880597014925373,0,0.2984706462752837,72,0.0863344844597928,0.0,0.045880611741489885,10,131,2
café,428,1,0.0023013194231359313,0.2644983123657564,755,0.025161092359619514,458,0.00015342129487572875,6,0,0.013961337833691316,0,0.02332003682111077,285,4308,383,0.178735808530224,0.04737611339381739,0.014575023013194232,399,14,196,0.012733967474685486,10,196,124,755,0.39800443458980045,0.03191162933415158,687,149.21615720524017,2781,0.002608162012887389,169,15,0.007824486038662166,494,0,1116,1,0,0.0,309,10824,12,0.0033752684872660325,559,41,0,15,3161,0.29203621581670364,644,0,7.475982532751091,0,0.2984044185332924,236,0.09021172138692851,0.0,0.032525314513654494,49,410,2
eau potable,96,0,0.007662835249042145,0.3229337712096333,203,0.0180623973727422,125,0.0,2,0,0.010946907498631636,0,0.021346469622331693,81,1138,80,0.15708812260536398,0.2519722599346861,0.014230979748221127,82,4,57,0.003284072249589491,2,58,94,202,0.38381112984822935,0.02681992337164751,162,160.856,987,0.0021893814997263274,57,14,0.010946907498631636,129,0,270,0,0,0.0,68,2965,1,0.0021893814997263274,145,2,0,10,1127,0.3801011804384486,109,0,8.664,0,0.3191023535851122,97,0.06677613574165299,0.0,0.0240831964969896,17,85,2
lait,147,0,0.005744768157570784,0.2708247845711941,281,0.020927369716865,158,0.0,6,0,0.00943783340172343,0,0.020927369716865,96,1705,261,0.22527697989331144,0.057627472107330296,0.01764464505539598,264,4,68,0.01107919573245794,3,68,54,281,0.4116368903911154,0.038161674189577346,360,169.5632911392405,1256,0.004103405826836274,66,14,0.012310217480508822,196,0,525,1,0,0.0,123,4142,3,0.003282724661469019,213,132,0,16,1434,0.3462095605987446,352,0,11.050632911392405,0,0.2712351251538777,101,0.0791957324579401,0.0,0.015592942141977841,24,268,2
thé,415,0,0.0026135249918327343,0.2605357726233257,696,0.02466514211042143,403,0.0003266906239790918,14,0,0.018458020254818686,0,0.017314603070891867,248,4276,374,0.17706631819666777,0.04297796444393303,0.01715125775890232,375,4,155,0.03495589676576282,13,156,96,696,0.41135161135161136,0.04099967330937602,630,163.28287841191067,2534,0.003430251551780464,165,16,0.003266906239790918,472,0,1034,0,0,0.0,289,10395,10,0.003430251551780464,541,27,0,38,2843,0.2734968734968735,544,0,9.657568238213399,0,0.26772296635086573,292,0.09425024501796798,0.0001633453119895459,0.03626265926167919,50,388,2
vin,466,1,0.0021207408454686836,0.29450021207408456,797,0.021631556623780576,554,0.00042414816909373674,8,0,0.018096988547999435,0,0.022338470238936804,297,4936,421,0.17630425561996324,0.23630211744160665,0.016400395871624486,437,16,206,0.008200197935812243,10,206,181,797,0.41129905841179903,0.0335077053584052,739,137.20938628158845,2991,0.0024035062915311748,208,15,0.009189876997030963,528,0,1199,3,0,0.0,300,12001,12,0.002969037183656157,591,39,0,33,3392,0.2826431130739105,672,0,8.38086642599278,0,0.2896931994910222,278,0.07366039869927894,0.0,0.03068005089778029,48,450,2
langage,62,0,0.01616915422885572,0.30223880597014924,84,0.02736318407960199,57,0.0,1,0,0.009950248756218905,0,0.028606965174129355,47,511,51,0.1691542288557214,0.1152812241521919,0.021144278606965175,50,0,28,0.02736318407960199,2,28,18,84,0.3885931558935361,0.029850746268656716,96,148.03508771929825,484,0.0,12,13,0.008706467661691543,43,0,132,0,0,0.0,28,1315,1,0.0037313432835820895,56,2,0,12,566,0.43041825095057035,70,0,7.315789473684211,0,0.27114427860696516,19,0.09079601990049752,0.0,0.009950248756218905,4,52,2
nom personnel,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,2
alphabet,42,0,0.015690376569037656,0.2405857740585774,82,0.021966527196652718,41,0.0020920502092050207,3,0,0.051255230125523014,0,0.021966527196652718,27,457,52,0.1401673640167364,0.12060078208318521,0.01882845188284519,51,0,18,0.02301255230125523,1,19,34,81,0.3362766740250184,0.04079497907949791,79,239.5121951219512,541,0.0010460251046025104,20,15,0.009414225941422594,58,0,126,0,0,0.0,35,1359,1,0.0020920502092050207,63,12,0,5,615,0.45253863134657835,80,0,19.536585365853657,0,0.3158995815899582,27,0.09205020920502092,0.0,0.01882845188284519,8,53,2
lettre,6,0,0.11688311688311688,0.4155844155844156,11,0.0,9,0.0,0,0,0.012987012987012988,0,0.025974025974025976,8,38,5,0.2077922077922078,0.007425742574257425,0.025974025974025976,5,0,6,0.012987012987012988,0,6,1,11,0.33043478260869563,0.012987012987012988,13,86.44444444444444,64,0.0,2,9,0.0,3,0,16,0,0,0.0,1,115,0,0.0,5,1,0,0,80,0.6956521739130435,7,0,7.777777777777778,0,0.2077922077922078,1,0.07792207792207792,0.0,0.0,0,5,2
