,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Abolition de l'esclavage,15,67,13,236,708,2949,12241,0.3923699044195736,0,331,2,0,0,0.27293521771097135,0,184.82903981264636,3341,612,847,235,60,332,16,5,847,0,4803,0.027471386517155874,1216,427,0.0020142339196992077,0,199,5.17096018735363,235,429,413,2,79,398,409,14,0,560,746
Abraham,14,11,3,64,373,1516,5190,0.37726396917148364,0,138,0,0,0,0.3283236994219653,0,133.991452991453,1704,248,338,92,13,141,17,7,340,0,1958,0.058205767176931295,565,234,0.004331683168316832,0,69,4.243589743589744,90,240,234,0,76,244,230,4,0,214,371
Abraham Lincoln,15,23,0,76,305,1550,5180,0.40598455598455596,0,124,0,0,0,0.33455598455598456,0,126.54435483870968,1733,235,327,92,13,147,10,2,327,0,2103,0.018807424307825123,515,248,0.004868549172346641,0,61,3.2903225806451615,92,201,197,0,26,203,199,4,0,200,343
Accident vasculaire cérébral,15,3,2,57,168,953,2984,0.37634048257372654,0,63,3,0,0,0.3703083109919571,0,127.67515923566879,1105,140,191,51,19,83,2,2,191,0,1123,0.134577770218556,289,157,0.008047210300429184,0,46,3.554140127388535,51,117,112,3,80,136,110,2,0,116,199
Achéménides,14,45,8,419,695,2843,12947,0.40318220437166913,0,379,0,0,0,0.25727967869004403,0,159.13980582524272,3331,738,981,243,73,381,15,7,981,0,5220,0.08652358428009371,1422,515,0.0018115942028985507,0,238,4.168932038834951,243,514,502,0,126,551,499,12,0,641,878
Acide,14,5,2,52,146,724,2825,0.4021238938053097,0,59,0,0,0,0.2984070796460177,0,140.14166666666668,843,125,194,70,13,99,3,2,195,0,1136,0.08378088077336197,284,120,0.008288928359976317,0,38,4.125,69,103,100,0,59,121,99,2,0,98,200
Acide désoxyribonucléique,15,18,10,312,500,1817,9581,0.3816929339317399,0,311,0,0,0,0.22711616741467489,0,187.08849557522123,2176,608,753,145,54,250,3,8,753,0,3657,0.004989042756562689,1008,339,0.0025265285497726125,0,191,4.592920353982301,145,309,296,1,28,373,291,12,0,523,560
Acide ribonucléique,15,8,2,142,330,1305,5828,0.39447494852436515,0,153,2,0,0,0.25892244337680165,0,173.7,1509,294,399,105,20,145,3,3,399,0,2299,0.03165366575534877,597,220,0.004248088360237893,0,102,5.040909090909091,105,218,210,2,64,239,211,6,0,262,362
Acier,14,3,1,86,230,1066,4211,0.40821657563524105,0,104,0,0,0,0.2828306815483258,0,157.64779874213838,1191,190,268,78,22,122,4,12,268,0,1719,0.12674942402255768,416,159,0.0056179775280898875,0,46,3.8742138364779874,78,170,167,0,120,197,157,3,0,156,288
Activité physique,14,9,5,37,112,694,2170,0.3861751152073733,0,39,0,0,0,0.36774193548387096,0,149.6595744680851,798,88,119,31,12,49,2,6,119,0,838,0.07381416504223522,186,94,0.010510510510510511,0,33,3.7872340425531914,31,79,78,0,29,82,68,1,0,74,126
