,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
nourriture,20,0,0.037333333333333336,0.30666666666666664,47,0.016,23,0.0,0,0,0.005333333333333333,12,0.010666666666666666,10,255,20,0.17866666666666667,0.8056375247742787,0.005333333333333333,19,0,6,0.013333333333333334,1,6,78,47,0.40476190476190477,0.021333333333333333,30,189.1304347826087,255,0.0026666666666666666,15,14,0.008,39,0,61,0,1,0.0,22,630,0,0.0026666666666666666,41,2,0,10,303,0.48095238095238096,35,12,5.434782608695652,7,0.3413333333333333,22,0.048,0.0,0.04,6,20,0
pain,265,0,0.0036036036036036037,0.2713963963963964,522,0.022072072072072072,420,0.0018018018018018018,8,1,0.01981981981981982,11,0.016666666666666666,199,3209,251,0.17612612612612613,0.04577443115369622,0.009684684684684685,254,7,142,0.014414414414414415,6,142,111,522,0.42008116245581884,0.027702702702702704,455,108.66428571428571,1998,0.0013513513513513514,127,16,0.0006756756756756757,341,0,759,0,1,0.00022522522522522523,200,7639,2,0.002702702702702703,380,26,0,24,2260,0.2958502421782956,429,32,3.8095238095238093,26,0.3222972972972973,154,0.0891891891891892,0.0,0.023873873873873873,23,260,0
céréale,135,0,0.006381039197812215,0.24293527803099363,246,0.02415679124886053,160,0.0,7,2,0.021422060164083864,12,0.018687329079307202,79,1426,136,0.1763901549680948,0.048769520071948326,0.014129443938012761,140,3,60,0.014585232452142206,1,60,77,246,0.3941404090657822,0.03600729261622607,218,143.26875,1124,0.004102096627164996,68,14,0.011850501367365542,174,0,368,0,1,0.0,101,3618,2,0.005013673655423883,186,11,0,20,1273,0.35185185185185186,199,21,4.38125,7,0.31814038286235186,109,0.09845031905195989,0.0,0.014129443938012761,19,141,0
fromage,191,0,0.004131012097964001,0.2779580997344349,430,0.020655060489820007,240,0.0,5,1,0.015048686928297432,9,0.024786072587784008,157,2240,225,0.1947477131897315,0.393159977388355,0.009737385659486574,227,3,117,0.010917674830333431,3,118,224,429,0.398080682424027,0.02508114488049572,377,150.09166666666667,1631,0.002360578341693715,90,14,0.0076718796105045735,293,0,627,0,1,0.0,193,5627,3,0.0038359398052522867,312,53,0,21,1860,0.3305491380842367,349,37,4.15,19,0.2944821481262909,154,0.08999704927707289,0.0,0.022720566538802008,33,231,0
œuf,20,0,0.057777777777777775,0.25333333333333335,39,0.008888888888888889,32,0.008888888888888889,1,0,0.022222222222222223,5,0.02666666666666667,14,138,17,0.24888888888888888,0.02396972245584525,0.0044444444444444444,16,0,6,0.03111111111111111,1,6,6,39,0.38227146814404434,0.013333333333333334,31,70.28125,189,0.0,6,13,0.008888888888888889,29,0,54,0,1,0.0,19,361,0,0.0,33,0,0,3,216,0.5983379501385041,36,0,3.46875,0,0.29777777777777775,6,0.04888888888888889,0.0,0.02666666666666667,2,17,0
fruit,6,0,0.14285714285714285,0.27380952380952384,11,0.0,7,0.011904761904761904,0,0,0.03571428571428571,6,0.011904761904761904,3,42,4,0.17857142857142858,0.051605504587155966,0.011904761904761904,4,0,1,0.047619047619047616,0,1,3,11,0.336,0.011904761904761904,7,114.42857142857143,75,0.0,2,12,0.011904761904761904,8,0,15,0,1,0.0,6,125,0,0.0,10,0,0,0,97,0.776,11,0,4.571428571428571,0,0.32142857142857145,1,0.05952380952380952,0.0,0.023809523809523808,0,4,0
maïs,533,1,0.0018404101485473905,0.27343236492704087,916,0.01748389641120021,514,0.0,9,7,0.016300775601419744,17,0.017878270014460365,296,5048,456,0.18312080978046535,0.08623866129997536,0.013540160378598658,469,7,178,0.028789273037991323,6,178,232,916,0.39895676914565714,0.02892073090574471,752,149.78599221789884,2755,0.002760615222821086,255,14,0.007230182726436178,654,0,1316,2,1,0.0,386,12653,13,0.004075193900354936,738,19,0,20,3178,0.25116573144708765,709,37,3.6459143968871595,18,0.2828973314052846,388,0.08899697646904167,0.0,0.03457341921914026,77,477,0
viande,185,0,0.004349086691794723,0.3076253986662801,372,0.022035372571759932,198,0.00028993911278631486,5,8,0.01304726007538417,11,0.020585677007828356,124,2406,163,0.15743693824296898,0.08478933706070288,0.013337199188170484,168,2,79,0.014496955639315743,3,79,102,372,0.41100102494021185,0.03566251087271673,286,183.24747474747474,1577,0.0017396346767178893,123,15,0.0136271383009568,266,0,508,0,1,0.0,134,5854,6,0.004059147579008408,293,8,0,15,1798,0.3071404168090195,308,18,4.5,9,0.27776167004928964,111,0.08263264714409974,0.0,0.03566251087271673,35,171,0
noisette,94,0,0.01012292118582791,0.27187274041937814,149,0.018799710773680405,119,0.0,1,0,0.01373825018076645,16,0.023138105567606652,53,946,70,0.15979754157628345,0.09690020161290322,0.006507592190889371,71,1,26,0.049168474331164135,1,27,72,148,0.40618291112065263,0.038322487346348515,125,118.31932773109244,749,0.0014461315979754157,41,14,0.005784526391901663,96,0,212,0,1,0.0,55,2329,2,0.0072306579898770785,122,3,0,11,848,0.36410476599398883,101,4,2.7815126050420167,0,0.30007230657989875,67,0.0824295010845987,0.0,0.021691973969631236,9,73,0
pommedeterre,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
riz,197,1,0.004375,0.2659375,347,0.0265625,270,0.0,1,0,0.01375,10,0.0284375,114,2098,168,0.165,0.059192240058993706,0.0128125,177,6,73,0.008125,3,73,82,347,0.395998489996225,0.06375,290,121.04074074074074,1470,0.0015625,114,14,0.0040625,246,0,495,1,1,0.0,124,5298,6,0.005625,274,11,0,14,1680,0.3171007927519819,294,21,3.637037037037037,4,0.27875,120,0.09625,0.0,0.029375,33,181,0
